"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert"
"Mobilitätsziffer","deutsch",2023,"04 Schwabing - West",212.3,"4",3308,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"04 Schwabing - West",212.3,"5",51927,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"05 Au - Haidhausen",212.8,"1",2071,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"05 Au - Haidhausen",212.8,"2",2991,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"05 Au - Haidhausen",212.8,"3",2191,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"05 Au - Haidhausen",212.8,"4",2983,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"05 Au - Haidhausen",212.8,"5",48104.1,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"06 Sendling",199,"1",1053,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"06 Sendling",199,"2",1625,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"06 Sendling",199,"3",1318,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"06 Sendling",199,"4",1871,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"06 Sendling",199,"5",29480.3,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"07 Sendling - Westpark",175.5,"1",1567,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"07 Sendling - Westpark",175.5,"2",2092,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"07 Sendling - Westpark",175.5,"3",1721,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"07 Sendling - Westpark",175.5,"4",2115,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"07 Sendling - Westpark",175.5,"5",42716.7,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"08 Schwanthalerhöhe",207.1,"1",752,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"08 Schwanthalerhöhe",207.1,"2",1112,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
