"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt"
"21","Pasing - Obermenzing",4532,2017,5788,10320
"22","Aubing",2541,2017,3971,6512
"23","Allach - Untermenzing",1862,2017,2738,4600
"24","Feldmoching - Hasenbergl",3591,2017,4613,8204
"25","Laim",3822,2017,4057,7879
"1","Altstadt - Lehel",1768,2018,1835,3603
"2","Ludwigsvorstadt - Isarvorstadt",5143,2018,5116,10259
"3","Maxvorstadt",5434,2018,4695,10129
"4","Schwabing - West",5707,2018,4583,10290
"5","Au - Haidhausen",4859,2018,4039,8898
"6","Sendling",3059,2018,2529,5588
"7","Sendling - Westpark",3731,2018,3352,7083
"8","Schwanthalerhöhe",2262,2018,2009,4271
"9","Neuhausen - Nymphenburg",7151,2018,6998,14149
"10","Moosach",3782,2018,3344,7126
"11","Milbertshofen - Am Hart",6128,2018,5771,11899
"12","Schwabing - Freimann",7150,2018,8767,15917
"13","Bogenhausen",5030,2018,5226,10256
"14","Berg am Laim",2644,2018,2453,5097
"15","Trudering - Riem",3674,2018,3938,7612
"16","Ramersdorf - Perlach",6399,2018,5891,12290
"17","Obergiesing - Fasangarten",3700,2018,4568,8268
"18","Untergiesing - Harlaching",3692,2018,3251,6943
"19","Thalkirchen",6360,2018,6216,12576
"20","Hadern",2905,2018,3129,6034
"21","Pasing - Obermenzing",4766,2018,5064,9830
"22","Aubing",2616,2018,3528,6144
"23","Allach - Untermenzing",1976,2018,2407,4383
"24","Feldmoching - Hasenbergl",3499,2018,3314,6813
"25","Laim",3967,2018,3326,7293
"1","Altstadt - Lehel",1898,2019,1584,3482
"2","Ludwigsvorstadt - Isarvorstadt",5269,2019,4221,9490
"3","Maxvorstadt",5435,2019,4181,9616
"4","Schwabing - West",5836,2019,4237,10073
"5","Au - Haidhausen",4971,2019,3787,8758
"6","Sendling",3205,2019,2448,5653
"7","Sendling - Westpark",3924,2019,3197,7121
"8","Schwanthalerhöhe",2317,2019,2139,4456
"9","Neuhausen - Nymphenburg",7515,2019,6187,13702
"10","Moosach",3954,2019,3389,7343
"11","Milbertshofen - Am Hart",6212,2019,5471,11683
"12","Schwabing - Freimann",7129,2019,7918,15047
"13","Bogenhausen",5359,2019,5144,10503
"14","Berg am Laim",2788,2019,2615,5403
"15","Trudering - Riem",4143,2019,4282,8425
"16","Ramersdorf - Perlach",6620,2019,6199,12819
