"Anfangsbezirk_Nr","Jahr","Anfangsbezirk","Umzugsbezirk","Anzahl"
"9",2005,"09 Neuhausen - Nymphenburg","17 Obergiesing - Fasangarten",164
"9",2005,"09 Neuhausen - Nymphenburg","18 Untergiesing - Harlaching",208
"9",2005,"09 Neuhausen - Nymphenburg","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",256
"9",2005,"09 Neuhausen - Nymphenburg","20 Hadern",148
"9",2005,"09 Neuhausen - Nymphenburg","21 Pasing - Obermenzing",438
"9",2005,"09 Neuhausen - Nymphenburg","22 Aubing - Lochhausen - Langwied",99
"9",2005,"09 Neuhausen - Nymphenburg","23 Allach - Untermenzing",161
"9",2005,"09 Neuhausen - Nymphenburg","24 Feldmoching - Hasenbergl",193
"9",2005,"09 Neuhausen - Nymphenburg","25 Laim",294
"10",2005,"10 Moosach","01 Altstadt - Lehel",20
"10",2005,"10 Moosach","02 Ludwigsvorstadt - Isarvorstadt",80
"10",2005,"10 Moosach","03 Maxvorstadt",85
"10",2005,"10 Moosach","04 Schwabing - West",134
"10",2005,"10 Moosach","05 Au - Haidhausen",81
"10",2005,"10 Moosach","06 Sendling",42
"10",2005,"10 Moosach","07 Sendling - Westpark",58
"10",2005,"10 Moosach","08 Schwanthalerhöhe",48
"10",2005,"10 Moosach","09 Neuhausen - Nymphenburg",252
"10",2005,"10 Moosach","10 Moosach",989
"10",2005,"10 Moosach","11 Milbertshofen - Am Hart",282
"10",2005,"10 Moosach","12 Schwabing - Freimann",123
"10",2005,"10 Moosach","13 Bogenhausen",134
"10",2005,"10 Moosach","14 Berg am Laim",46
"10",2005,"10 Moosach","15 Trudering - Riem",73
"10",2005,"10 Moosach","16 Ramersdorf - Perlach",218
"10",2005,"10 Moosach","17 Obergiesing - Fasangarten",78
"10",2005,"10 Moosach","18 Untergiesing - Harlaching",62
"10",2005,"10 Moosach","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",77
"10",2005,"10 Moosach","20 Hadern",35
"10",2005,"10 Moosach","21 Pasing - Obermenzing",118
"10",2005,"10 Moosach","22 Aubing - Lochhausen - Langwied",71
"10",2005,"10 Moosach","23 Allach - Untermenzing",187
"10",2005,"10 Moosach","24 Feldmoching - Hasenbergl",233
"10",2005,"10 Moosach","25 Laim",75
"11",2005,"11 Milbertshofen - Am Hart","01 Altstadt - Lehel",56
"11",2005,"11 Milbertshofen - Am Hart","02 Ludwigsvorstadt - Isarvorstadt",143
"11",2005,"11 Milbertshofen - Am Hart","03 Maxvorstadt",162
"11",2005,"11 Milbertshofen - Am Hart","04 Schwabing - West",395
"11",2005,"11 Milbertshofen - Am Hart","05 Au - Haidhausen",131
"11",2005,"11 Milbertshofen - Am Hart","06 Sendling",109
"11",2005,"11 Milbertshofen - Am Hart","07 Sendling - Westpark",142
"11",2005,"11 Milbertshofen - Am Hart","08 Schwanthalerhöhe",97
"11",2005,"11 Milbertshofen - Am Hart","09 Neuhausen - Nymphenburg",247
"11",2005,"11 Milbertshofen - Am Hart","10 Moosach",258
"11",2005,"11 Milbertshofen - Am Hart","11 Milbertshofen - Am Hart",2335
"11",2005,"11 Milbertshofen - Am Hart","12 Schwabing - Freimann",400
"11",2005,"11 Milbertshofen - Am Hart","13 Bogenhausen",227
"11",2005,"11 Milbertshofen - Am Hart","14 Berg am Laim",108
"11",2005,"11 Milbertshofen - Am Hart","15 Trudering - Riem",144
"11",2005,"11 Milbertshofen - Am Hart","16 Ramersdorf - Perlach",243
"11",2005,"11 Milbertshofen - Am Hart","17 Obergiesing - Fasangarten",156
"11",2005,"11 Milbertshofen - Am Hart","18 Untergiesing - Harlaching",126
"11",2005,"11 Milbertshofen - Am Hart","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",170
"11",2005,"11 Milbertshofen - Am Hart","20 Hadern",93
"11",2005,"11 Milbertshofen - Am Hart","21 Pasing - Obermenzing",152
"11",2005,"11 Milbertshofen - Am Hart","22 Aubing - Lochhausen - Langwied",78
"11",2005,"11 Milbertshofen - Am Hart","23 Allach - Untermenzing",62
"11",2005,"11 Milbertshofen - Am Hart","24 Feldmoching - Hasenbergl",465
"11",2005,"11 Milbertshofen - Am Hart","25 Laim",125
"12",2005,"12 Schwabing - Freimann","01 Altstadt - Lehel",94
"12",2005,"12 Schwabing - Freimann","02 Ludwigsvorstadt - Isarvorstadt",231
"12",2005,"12 Schwabing - Freimann","03 Maxvorstadt",298
"12",2005,"12 Schwabing - Freimann","04 Schwabing - West",561
"12",2005,"12 Schwabing - Freimann","05 Au - Haidhausen",209
"12",2005,"12 Schwabing - Freimann","06 Sendling",140
"12",2005,"12 Schwabing - Freimann","07 Sendling - Westpark",122
"12",2005,"12 Schwabing - Freimann","08 Schwanthalerhöhe",84
"12",2005,"12 Schwabing - Freimann","09 Neuhausen - Nymphenburg",296
"12",2005,"12 Schwabing - Freimann","10 Moosach",118
"12",2005,"12 Schwabing - Freimann","11 Milbertshofen - Am Hart",582
"12",2005,"12 Schwabing - Freimann","12 Schwabing - Freimann",1520
"12",2005,"12 Schwabing - Freimann","13 Bogenhausen",278
"12",2005,"12 Schwabing - Freimann","14 Berg am Laim",96
"12",2005,"12 Schwabing - Freimann","15 Trudering - Riem",124
"12",2005,"12 Schwabing - Freimann","16 Ramersdorf - Perlach",199
"12",2005,"12 Schwabing - Freimann","17 Obergiesing - Fasangarten",134
"12",2005,"12 Schwabing - Freimann","18 Untergiesing - Harlaching",137
"12",2005,"12 Schwabing - Freimann","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",149
"12",2005,"12 Schwabing - Freimann","20 Hadern",77
"12",2005,"12 Schwabing - Freimann","21 Pasing - Obermenzing",162
"12",2005,"12 Schwabing - Freimann","22 Aubing - Lochhausen - Langwied",57
"12",2005,"12 Schwabing - Freimann","23 Allach - Untermenzing",52
"12",2005,"12 Schwabing - Freimann","24 Feldmoching - Hasenbergl",209
"12",2005,"12 Schwabing - Freimann","25 Laim",105
"13",2005,"13 Bogenhausen","01 Altstadt - Lehel",116
"13",2005,"13 Bogenhausen","02 Ludwigsvorstadt - Isarvorstadt",144
"13",2005,"13 Bogenhausen","03 Maxvorstadt",144
"13",2005,"13 Bogenhausen","04 Schwabing - West",211
"13",2005,"13 Bogenhausen","05 Au - Haidhausen",302
"13",2005,"13 Bogenhausen","06 Sendling",47
"13",2005,"13 Bogenhausen","07 Sendling - Westpark",70
"13",2005,"13 Bogenhausen","08 Schwanthalerhöhe",66
"13",2005,"13 Bogenhausen","09 Neuhausen - Nymphenburg",176
"13",2005,"13 Bogenhausen","10 Moosach",67
"13",2005,"13 Bogenhausen","11 Milbertshofen - Am Hart",186
"13",2005,"13 Bogenhausen","12 Schwabing - Freimann",270
"13",2005,"13 Bogenhausen","13 Bogenhausen",1969
"13",2005,"13 Bogenhausen","14 Berg am Laim",179
"13",2005,"13 Bogenhausen","15 Trudering - Riem",313
"13",2005,"13 Bogenhausen","16 Ramersdorf - Perlach",276
"13",2005,"13 Bogenhausen","17 Obergiesing - Fasangarten",123
